locus_tag	ftype	length_bp	gene	EC_number	COG	product
53965_StreptomycesisolateR1_01160	CDS	1089	ychF		COG0012	Ribosome-binding ATPase YchF
53965_StreptomycesisolateR1_01161	CDS	414				hypothetical protein
53965_StreptomycesisolateR1_01162	CDS	741	ppgK	2.7.1.63	COG1940	Polyphosphate glucokinase
53965_StreptomycesisolateR1_01163	CDS	1017	ispH2	1.17.7.4	COG0761	4-hydroxy-3-methylbut-2-enyl diphosphate reductase 2
53965_StreptomycesisolateR1_01164	CDS	1398	puuP		COG0531	Putrescine importer PuuP
53965_StreptomycesisolateR1_01165	CDS	1209	xseA	3.1.11.6	COG1570	Exodeoxyribonuclease 7 large subunit
53965_StreptomycesisolateR1_01166	CDS	255	xseB	3.1.11.6	COG1722	Exodeoxyribonuclease 7 small subunit
53965_StreptomycesisolateR1_01167	CDS	222				hypothetical protein
53965_StreptomycesisolateR1_01168	CDS	591	rutE	1.1.1.298	COG0778	Probable malonic semialdehyde reductase RutE
53965_StreptomycesisolateR1_01169	CDS	498				hypothetical protein
53965_StreptomycesisolateR1_01170	CDS	1032	glpX	3.1.3.11	COG1494	Fructose-1,6-bisphosphatase class 2
53965_StreptomycesisolateR1_01171	CDS	378	whiB_2			Transcriptional regulator WhiB
53965_StreptomycesisolateR1_01172	CDS	681				Uncharacterized protein Rv0966c
53965_StreptomycesisolateR1_01173	CDS	1668	fumB	4.2.1.2	COG1838	Fumarate hydratase class I, anaerobic
53965_StreptomycesisolateR1_01174	CDS	1410				hypothetical protein
53965_StreptomycesisolateR1_01175	CDS	1386	fumC	4.2.1.2	COG0114	Fumarate hydratase class II
53965_StreptomycesisolateR1_01176	CDS	714				hypothetical protein
53965_StreptomycesisolateR1_01177	CDS	2274				hypothetical protein
53965_StreptomycesisolateR1_01178	CDS	2364	ponA1		COG0744	Penicillin-binding protein 1A
53965_StreptomycesisolateR1_01179	CDS	939				hypothetical protein
53965_StreptomycesisolateR1_01180	CDS	279				hypothetical protein
53965_StreptomycesisolateR1_01181	CDS	525				hypothetical protein
53965_StreptomycesisolateR1_01182	CDS	690	lolD_2	3.6.3.-	COG1136	Lipoprotein-releasing system ATP-binding protein LolD
53965_StreptomycesisolateR1_01183	CDS	2343				hypothetical protein
53965_StreptomycesisolateR1_01184	CDS	939	oxyR_1			Probable hydrogen peroxide-inducible genes activator
53965_StreptomycesisolateR1_01185	CDS	555		1.11.1.15	COG0450	Alkyl hydroperoxide reductase C
53965_StreptomycesisolateR1_01186	CDS	537	ahpD	1.11.1.15	COG2128	Alkyl hydroperoxide reductase AhpD
53965_StreptomycesisolateR1_01187	CDS	1449				hypothetical protein
53965_StreptomycesisolateR1_01188	CDS	699				hypothetical protein
53965_StreptomycesisolateR1_01189	CDS	1326				hypothetical protein
53965_StreptomycesisolateR1_01190	CDS	780				hypothetical protein
53965_StreptomycesisolateR1_01191	CDS	879	fgd_2	1.1.98.2		F420-dependent glucose-6-phosphate dehydrogenase
53965_StreptomycesisolateR1_01192	CDS	258				hypothetical protein
53965_StreptomycesisolateR1_01193	CDS	528				hypothetical protein
53965_StreptomycesisolateR1_01194	tRNA	92				tRNA-Pro(cgg)
53965_StreptomycesisolateR1_01195	CDS	249				hypothetical protein
53965_StreptomycesisolateR1_01196	CDS	198				hypothetical protein
53965_StreptomycesisolateR1_01197	CDS	903				hypothetical protein
53965_StreptomycesisolateR1_01198	CDS	945				hypothetical protein
53965_StreptomycesisolateR1_01199	CDS	1338				hypothetical protein
53965_StreptomycesisolateR1_01200	CDS	363				hypothetical protein
53965_StreptomycesisolateR1_01201	CDS	402				hypothetical protein
53965_StreptomycesisolateR1_01202	CDS	1257				Iron-sulfur cluster carrier protein
53965_StreptomycesisolateR1_01203	CDS	708				hypothetical protein
53965_StreptomycesisolateR1_01204	CDS	948				hypothetical protein
53965_StreptomycesisolateR1_01205	CDS	1716		3.2.1.14		Exochitinase 1
53965_StreptomycesisolateR1_01206	CDS	513	sigE_3		COG1595	RNA polymerase sigma-E factor
53965_StreptomycesisolateR1_01207	CDS	1275				hypothetical protein
53965_StreptomycesisolateR1_01208	CDS	1323	mntH			Divalent metal cation transporter MntH
53965_StreptomycesisolateR1_01209	CDS	669				hypothetical protein
53965_StreptomycesisolateR1_01210	CDS	1482	ygbN		COG2610	Inner membrane permease YgbN
53965_StreptomycesisolateR1_01211	CDS	411	yabJ	3.5.99.10	COG0251	2-iminobutanoate/2-iminopropanoate deaminase
53965_StreptomycesisolateR1_01212	CDS	765	kdgR_1		COG1414	Transcriptional regulator KdgR
53965_StreptomycesisolateR1_01213	CDS	1056	kdgK_1	2.7.1.45		2-dehydro-3-deoxygluconokinase
53965_StreptomycesisolateR1_01214	CDS	1302		4.1.2.42		D-threonine aldolase
53965_StreptomycesisolateR1_01215	CDS	1611	dan	3.5.1.81		D-aminoacylase
53965_StreptomycesisolateR1_01216	CDS	1212	alaA	2.6.1.2	COG0436	Glutamate-pyruvate aminotransferase AlaA
53965_StreptomycesisolateR1_01217	CDS	423				hypothetical protein
53965_StreptomycesisolateR1_01218	CDS	1821	pckG	4.1.1.32	COG1274	Phosphoenolpyruvate carboxykinase [GTP]
53965_StreptomycesisolateR1_01219	CDS	705				hypothetical protein
53965_StreptomycesisolateR1_01220	CDS	732				hypothetical protein
53965_StreptomycesisolateR1_01221	CDS	351				hypothetical protein
53965_StreptomycesisolateR1_01222	CDS	2031				hypothetical protein
53965_StreptomycesisolateR1_01223	CDS	504	guaD	3.5.4.3	COG0590	Guanine deaminase
53965_StreptomycesisolateR1_01224	CDS	810				hypothetical protein
53965_StreptomycesisolateR1_01225	CDS	2418	xdhA	1.17.1.4	COG1529	Putative xanthine dehydrogenase molybdenum-binding subunit XdhA
53965_StreptomycesisolateR1_01226	CDS	1485				hypothetical protein
53965_StreptomycesisolateR1_01227	CDS	3234				hypothetical protein
53965_StreptomycesisolateR1_01228	CDS	228				hypothetical protein
53965_StreptomycesisolateR1_01229	CDS	882	mca_1	3.5.1.115	COG2120	Mycothiol S-conjugate amidase
53965_StreptomycesisolateR1_01230	CDS	399				hypothetical protein
53965_StreptomycesisolateR1_01231	CDS	498	greA		COG0782	Transcription elongation factor GreA
53965_StreptomycesisolateR1_01232	CDS	858	drrB_3			Daunorubicin/doxorubicin resistance ABC transporter permease protein DrrB
53965_StreptomycesisolateR1_01233	CDS	1008	drrA_5	3.6.3.-		Daunorubicin/doxorubicin resistance ATP-binding protein DrrA
53965_StreptomycesisolateR1_01234	CDS	1230	tdcB	4.3.1.19	COG1171	L-threonine ammonia-lyase
53965_StreptomycesisolateR1_01235	CDS	525				hypothetical protein
53965_StreptomycesisolateR1_01236	CDS	507				hypothetical protein
53965_StreptomycesisolateR1_01237	CDS	279				hypothetical protein
53965_StreptomycesisolateR1_01238	CDS	1155	metB	2.5.1.48	COG0626	Cystathionine gamma-synthase
53965_StreptomycesisolateR1_01239	CDS	1119				hypothetical protein
53965_StreptomycesisolateR1_01240	CDS	513	msrA3	1.8.4.11		Peptide methionine sulfoxide reductase MsrA 3
53965_StreptomycesisolateR1_01241	CDS	594				hypothetical protein
53965_StreptomycesisolateR1_01242	CDS	594				hypothetical protein
53965_StreptomycesisolateR1_01243	CDS	621				hypothetical protein
53965_StreptomycesisolateR1_01244	CDS	597				hypothetical protein
53965_StreptomycesisolateR1_01245	CDS	1038	tas_1		COG0667	Protein tas
53965_StreptomycesisolateR1_01246	CDS	714	narX_1	1.7.99.4		Nitrate reductase-like protein NarX
53965_StreptomycesisolateR1_01247	CDS	738				hypothetical protein
53965_StreptomycesisolateR1_01248	CDS	1689	narY_1	1.7.99.4	COG1140	Respiratory nitrate reductase 2 beta chain
53965_StreptomycesisolateR1_01249	CDS	3744	narG_1	1.7.99.4	COG5013	Nitrate reductase alpha subunit
53965_StreptomycesisolateR1_01250	CDS	792				hypothetical protein
53965_StreptomycesisolateR1_01251	CDS	1041	adhc1	1.1.1.2	COG1064	NADP-dependent alcohol dehydrogenase C 1
53965_StreptomycesisolateR1_01252	CDS	879				hypothetical protein
53965_StreptomycesisolateR1_01253	CDS	687	yknY_1	3.6.3.-	COG1136	Uncharacterized ABC transporter ATP-binding protein YknY
53965_StreptomycesisolateR1_01254	CDS	1491				hypothetical protein
53965_StreptomycesisolateR1_01255	CDS	984				hypothetical protein
53965_StreptomycesisolateR1_01256	CDS	573				hypothetical protein
53965_StreptomycesisolateR1_01257	CDS	879				hypothetical protein
53965_StreptomycesisolateR1_01258	CDS	1248	ldtB_2	2.3.2.-		L,D-transpeptidase 2
53965_StreptomycesisolateR1_01259	CDS	354				hypothetical protein
53965_StreptomycesisolateR1_01260	CDS	330				hypothetical protein
53965_StreptomycesisolateR1_01261	CDS	1575	hutH	4.3.1.3	COG2986	Histidine ammonia-lyase
53965_StreptomycesisolateR1_01262	CDS	1149				hypothetical protein
53965_StreptomycesisolateR1_01263	CDS	801	paaF	4.2.1.17	COG1024	2,3-dehydroadipyl-CoA hydratase
53965_StreptomycesisolateR1_01264	CDS	720				hypothetical protein
53965_StreptomycesisolateR1_01265	CDS	1146		4.6.1.1	COG2114	pH-sensitive adenylate cyclase Rv1264
53965_StreptomycesisolateR1_01266	CDS	891	birA	6.3.4.15	COG0340	Bifunctional ligase/repressor BirA
53965_StreptomycesisolateR1_01267	CDS	1593	accD5	6.4.1.3	COG4799	Probable propionyl-CoA carboxylase beta chain 5
53965_StreptomycesisolateR1_01268	CDS	210				hypothetical protein
53965_StreptomycesisolateR1_01269	CDS	129				hypothetical protein
53965_StreptomycesisolateR1_01270	CDS	624			COG0424	Maf-like protein Rv3282
53965_StreptomycesisolateR1_01271	CDS	489				hypothetical protein
53965_StreptomycesisolateR1_01272	CDS	1773				hypothetical protein
53965_StreptomycesisolateR1_01273	CDS	951	ulaR			HTH-type transcriptional regulator UlaR
53965_StreptomycesisolateR1_01274	CDS	1449	lpdA	1.6.5.2	COG1249	NAD(P)H dehydrogenase (quinone)
53965_StreptomycesisolateR1_01275	CDS	438				hypothetical protein
53965_StreptomycesisolateR1_01276	CDS	876	punA	2.4.2.1	COG0005	Purine nucleoside phosphorylase
53965_StreptomycesisolateR1_01277	CDS	1659		5.4.2.8	COG1109	Probable phosphomannomutase
53965_StreptomycesisolateR1_01278	CDS	711				hypothetical protein
53965_StreptomycesisolateR1_01279	CDS	984	deoC	4.1.2.4		Deoxyribose-phosphate aldolase
53965_StreptomycesisolateR1_01280	CDS	1437	aldA	1.2.1.3		Putative aldehyde dehydrogenase AldA
53965_StreptomycesisolateR1_01281	CDS	894	betB_1	1.2.1.8	COG1012	NAD/NADP-dependent betaine aldehyde dehydrogenase
53965_StreptomycesisolateR1_01282	CDS	2064	pknD_5	2.7.11.1		Serine/threonine-protein kinase PknD
53965_StreptomycesisolateR1_01283	CDS	411				hypothetical protein
53965_StreptomycesisolateR1_01284	CDS	603	udk	2.7.1.48		Uridine kinase
53965_StreptomycesisolateR1_01285	CDS	732				hypothetical protein
53965_StreptomycesisolateR1_01286	CDS	696	afsQ1_1			Transcriptional regulatory protein AfsQ1
53965_StreptomycesisolateR1_01287	CDS	1599	sasA_3	2.7.-.-		Adaptive-response sensory-kinase SasA
53965_StreptomycesisolateR1_01288	CDS	612				hypothetical protein
53965_StreptomycesisolateR1_01289	CDS	552				hypothetical protein
53965_StreptomycesisolateR1_01290	CDS	204				hypothetical protein
53965_StreptomycesisolateR1_01291	CDS	369				hypothetical protein
53965_StreptomycesisolateR1_01292	CDS	1191	add_1	3.5.4.4	COG1816	Adenosine deaminase
53965_StreptomycesisolateR1_01293	CDS	693				hypothetical protein
53965_StreptomycesisolateR1_01294	CDS	894	gltC_1			HTH-type transcriptional regulator GltC
53965_StreptomycesisolateR1_01295	CDS	1308	ynfM			Inner membrane transport protein YnfM
53965_StreptomycesisolateR1_01296	CDS	1005	sigG		COG1595	ECF RNA polymerase sigma factor SigG
53965_StreptomycesisolateR1_01297	CDS	387				hypothetical protein
53965_StreptomycesisolateR1_01298	CDS	924				hypothetical protein
53965_StreptomycesisolateR1_01299	CDS	585				hypothetical protein
53965_StreptomycesisolateR1_01300	CDS	1284	deoA	2.4.2.4	COG0213	Thymidine phosphorylase
53965_StreptomycesisolateR1_01301	CDS	393	cdd	3.5.4.5	COG0295	Cytidine deaminase
53965_StreptomycesisolateR1_01302	CDS	1275				hypothetical protein
53965_StreptomycesisolateR1_01303	CDS	1125				hypothetical protein
53965_StreptomycesisolateR1_01304	CDS	1623	mglA_1	3.6.3.17	COG1129	Galactose/methyl galactoside import ATP-binding protein MglA
53965_StreptomycesisolateR1_01305	CDS	1047	tmpC_1		COG1744	Membrane lipoprotein TmpC
53965_StreptomycesisolateR1_01306	CDS	1044	tmpC_2		COG1744	Membrane lipoprotein TmpC
53965_StreptomycesisolateR1_01307	CDS	1239	yxeP	3.-.-.-	COG1473	Uncharacterized hydrolase YxeP
53965_StreptomycesisolateR1_01308	CDS	1071				hypothetical protein
53965_StreptomycesisolateR1_01309	CDS	939	legI	2.5.1.101	COG2089	N,N'-diacetyllegionaminic acid synthase
53965_StreptomycesisolateR1_01310	CDS	1281	kdsB	2.7.7.38		3-deoxy-manno-octulosonate cytidylyltransferase
53965_StreptomycesisolateR1_01311	CDS	1326				hypothetical protein
53965_StreptomycesisolateR1_01312	CDS	981	arnC_1	2.4.2.53		Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
53965_StreptomycesisolateR1_01313	CDS	1335				hypothetical protein
53965_StreptomycesisolateR1_01314	CDS	450				hypothetical protein
53965_StreptomycesisolateR1_01315	CDS	966	csbB	2.4.-.-	COG0463	Putative glycosyltransferase CsbB
53965_StreptomycesisolateR1_01316	CDS	2886				hypothetical protein
53965_StreptomycesisolateR1_01317	CDS	948				hypothetical protein
53965_StreptomycesisolateR1_01318	CDS	1038				hypothetical protein
53965_StreptomycesisolateR1_01319	CDS	651	tetR_1			Tetracycline repressor protein class A from transposon 1721
53965_StreptomycesisolateR1_01320	CDS	1452	otcC_2	1.14.13.38		Anhydrotetracycline monooxygenase
53965_StreptomycesisolateR1_01321	CDS	1581	scpA_1	5.4.99.2	COG1884	Methylmalonyl-CoA mutase
53965_StreptomycesisolateR1_01322	CDS	864				hypothetical protein
53965_StreptomycesisolateR1_01323	CDS	1167				hypothetical protein
53965_StreptomycesisolateR1_01324	CDS	831				hypothetical protein
53965_StreptomycesisolateR1_01325	CDS	912				hypothetical protein
53965_StreptomycesisolateR1_01326	CDS	591	shbA_1			ECF RNA polymerase sigma factor ShbA
53965_StreptomycesisolateR1_01327	CDS	411				hypothetical protein
53965_StreptomycesisolateR1_01328	CDS	570				hypothetical protein
53965_StreptomycesisolateR1_01329	CDS	564				hypothetical protein
53965_StreptomycesisolateR1_01330	CDS	1566				hypothetical protein
53965_StreptomycesisolateR1_01331	CDS	513				hypothetical protein
53965_StreptomycesisolateR1_01332	CDS	381	sdhC		COG2009	Succinate dehydrogenase 2 membrane subunit SdhC
53965_StreptomycesisolateR1_01333	CDS	489				hypothetical protein
53965_StreptomycesisolateR1_01334	CDS	1755	sdhA_2	1.3.5.1		Succinate dehydrogenase flavoprotein subunit
53965_StreptomycesisolateR1_01335	CDS	774	sdhB	1.3.5.1	COG0479	Succinate dehydrogenase iron-sulfur subunit
53965_StreptomycesisolateR1_01336	CDS	411				hypothetical protein
53965_StreptomycesisolateR1_01337	CDS	408				hypothetical protein
53965_StreptomycesisolateR1_01338	CDS	489				hypothetical protein
53965_StreptomycesisolateR1_01339	CDS	756				hypothetical protein
53965_StreptomycesisolateR1_01340	CDS	1326				hypothetical protein
53965_StreptomycesisolateR1_01341	CDS	240				hypothetical protein
53965_StreptomycesisolateR1_01342	CDS	1275				hypothetical protein
53965_StreptomycesisolateR1_01343	CDS	990	yhjD		COG1295	Inner membrane protein YhjD
53965_StreptomycesisolateR1_01344	CDS	474				hypothetical protein
53965_StreptomycesisolateR1_01345	CDS	966		2.4.2.45	COG0382	Decaprenyl-phosphate phosphoribosyltransferase
53965_StreptomycesisolateR1_01346	CDS	507		3.1.3.-	COG0671	Putative decaprenylphosphoryl-5-phosphoribose phosphatase Rv3807c
53965_StreptomycesisolateR1_01347	CDS	1392	dprE1	1.1.98.3	COG0277	Decaprenylphosphoryl-beta-D-ribose oxidase
53965_StreptomycesisolateR1_01348	CDS	756	dprE2	1.1.1.333	COG1028	Decaprenylphosphoryl-2-keto-beta-D-erythro-pentose reductase
53965_StreptomycesisolateR1_01349	CDS	579	thpR	3.1.4.-		RNA 2',3'-cyclic phosphodiesterase
53965_StreptomycesisolateR1_01350	CDS	1077	trpS_2	6.1.1.2	COG0180	Tryptophan--tRNA ligase
53965_StreptomycesisolateR1_01351	CDS	663				hypothetical protein
53965_StreptomycesisolateR1_01352	CDS	1446	glyA_1	2.1.2.1	COG0112	Serine hydroxymethyltransferase
53965_StreptomycesisolateR1_01353	CDS	1185	ygiC	6.3.1.-	COG0754	Putative acid--amine ligase YgiC
53965_StreptomycesisolateR1_01354	CDS	378				hypothetical protein
53965_StreptomycesisolateR1_01355	CDS	1386	gabR_1		COG1167	HTH-type transcriptional regulatory protein GabR
53965_StreptomycesisolateR1_01356	CDS	510				hypothetical protein
53965_StreptomycesisolateR1_01357	CDS	483				hypothetical protein
53965_StreptomycesisolateR1_01358	CDS	744				Uncharacterized protein MT2054
53965_StreptomycesisolateR1_01359	CDS	957				hypothetical protein
53965_StreptomycesisolateR1_01360	CDS	1950				hypothetical protein
53965_StreptomycesisolateR1_01361	CDS	1194	opuAA_1	3.6.3.32	COG4175	Glycine betaine transport ATP-binding protein OpuAA
53965_StreptomycesisolateR1_01362	CDS	1533	codA	1.1.3.17		Choline oxidase
53965_StreptomycesisolateR1_01363	CDS	1530	gbsA	1.2.1.8	COG1012	Betaine aldehyde dehydrogenase
53965_StreptomycesisolateR1_01364	CDS	990	mdh	1.1.1.37	COG0039	Malate dehydrogenase
53965_StreptomycesisolateR1_01365	CDS	1329				hypothetical protein
53965_StreptomycesisolateR1_01366	CDS	594				hypothetical protein
53965_StreptomycesisolateR1_01367	CDS	855	folD		COG0190	Bifunctional protein FolD
53965_StreptomycesisolateR1_01368	CDS	549				hypothetical protein
53965_StreptomycesisolateR1_01369	CDS	747				hypothetical protein
53965_StreptomycesisolateR1_01370	CDS	1566				hypothetical protein
53965_StreptomycesisolateR1_01371	CDS	471				hypothetical protein
53965_StreptomycesisolateR1_01372	CDS	1578	purH		COG0138	Bifunctional purine biosynthesis protein PurH
53965_StreptomycesisolateR1_01373	CDS	648	purN	2.1.2.2	COG0299	Phosphoribosylglycinamide formyltransferase
53965_StreptomycesisolateR1_01374	CDS	780				hypothetical protein
53965_StreptomycesisolateR1_01375	CDS	1677				hypothetical protein
53965_StreptomycesisolateR1_01376	CDS	903				hypothetical protein
53965_StreptomycesisolateR1_01377	CDS	885	sucD_1	6.2.1.5	COG0074	Succinate--CoA ligase [ADP-forming] subunit alpha
53965_StreptomycesisolateR1_01378	CDS	1185	sucC_1	6.2.1.5	COG0045	Succinate--CoA ligase [ADP-forming] subunit beta
53965_StreptomycesisolateR1_01379	CDS	645				hypothetical protein
53965_StreptomycesisolateR1_01380	CDS	360				hypothetical protein
53965_StreptomycesisolateR1_01381	CDS	1236				hypothetical protein
53965_StreptomycesisolateR1_01382	CDS	2616				hypothetical protein
53965_StreptomycesisolateR1_01383	CDS	1110	yehL		COG0714	Uncharacterized protein YehL
53965_StreptomycesisolateR1_01384	CDS	1092				hypothetical protein
53965_StreptomycesisolateR1_01385	CDS	1581				hypothetical protein
53965_StreptomycesisolateR1_01386	CDS	417	scpA_2	5.4.99.2	COG1884	Methylmalonyl-CoA mutase
53965_StreptomycesisolateR1_01387	CDS	999				hypothetical protein
53965_StreptomycesisolateR1_01388	CDS	1695				hypothetical protein
53965_StreptomycesisolateR1_01389	CDS	2490	uvrD1	3.6.4.12	COG0210	ATP-dependent DNA helicase UvrD1
53965_StreptomycesisolateR1_01390	CDS	1194				hypothetical protein
53965_StreptomycesisolateR1_01391	CDS	1020				hypothetical protein
53965_StreptomycesisolateR1_01392	CDS	354				hypothetical protein
53965_StreptomycesisolateR1_01393	CDS	1059				hypothetical protein
53965_StreptomycesisolateR1_01394	CDS	750	nreC_2		COG2197	Oxygen regulatory protein NreC
53965_StreptomycesisolateR1_01395	CDS	1293				hypothetical protein
53965_StreptomycesisolateR1_01396	CDS	1464				hypothetical protein
53965_StreptomycesisolateR1_01397	CDS	246				hypothetical protein
53965_StreptomycesisolateR1_01398	CDS	564				hypothetical protein
53965_StreptomycesisolateR1_01399	CDS	1299				hypothetical protein
53965_StreptomycesisolateR1_01400	CDS	492				hypothetical protein
53965_StreptomycesisolateR1_01401	CDS	1581	guaA	6.3.5.2	COG0518	GMP synthase [glutamine-hydrolyzing]
53965_StreptomycesisolateR1_01402	CDS	309				hypothetical protein
53965_StreptomycesisolateR1_01403	CDS	1104				hypothetical protein
53965_StreptomycesisolateR1_01404	CDS	1836	choD	1.1.3.6	COG2303	Cholesterol oxidase
53965_StreptomycesisolateR1_01405	CDS	1614	gabD2	1.2.1.79	COG1012	Putative succinate-semialdehyde dehydrogenase [NADP(+)] 2
53965_StreptomycesisolateR1_01406	CDS	1764	pknD_6	2.7.11.1		Serine/threonine-protein kinase PknD
53965_StreptomycesisolateR1_01407	CDS	1128	pknD_7	2.7.11.1		Serine/threonine-protein kinase PknD
53965_StreptomycesisolateR1_01408	CDS	1791	pknD_8	2.7.11.1		Serine/threonine-protein kinase PknD
53965_StreptomycesisolateR1_01409	CDS	2646				hypothetical protein
53965_StreptomycesisolateR1_01410	tRNA	96				tRNA-Pro(ggg)
53965_StreptomycesisolateR1_01411	CDS	1707	glpD2	1.1.5.3	COG0578	Glycerol-3-phosphate dehydrogenase 2
53965_StreptomycesisolateR1_01412	CDS	1218	wbpA	1.1.1.136	COG0677	UDP-N-acetyl-D-glucosamine 6-dehydrogenase
53965_StreptomycesisolateR1_01413	CDS	1125		1.-.-.-	COG0516	Uncharacterized oxidoreductase MSMEG_1603/MSMEI_1564
53965_StreptomycesisolateR1_01414	CDS	1506	guaB	1.1.1.205	COG0516	Inosine-5'-monophosphate dehydrogenase
53965_StreptomycesisolateR1_01415	CDS	588	shbA_2			ECF RNA polymerase sigma factor ShbA
53965_StreptomycesisolateR1_01416	CDS	612	degU_4		COG2197	Transcriptional regulatory protein DegU
53965_StreptomycesisolateR1_01417	CDS	180	whiD			Transcriptional regulator WhiD
53965_StreptomycesisolateR1_01418	CDS	879	gltC_2			HTH-type transcriptional regulator GltC
53965_StreptomycesisolateR1_01419	CDS	702				hypothetical protein
53965_StreptomycesisolateR1_01420	CDS	774				hypothetical protein
53965_StreptomycesisolateR1_01421	CDS	657				hypothetical protein
53965_StreptomycesisolateR1_01422	CDS	2094				hypothetical protein
53965_StreptomycesisolateR1_01423	CDS	1290				hypothetical protein
53965_StreptomycesisolateR1_01424	CDS	1626	groL1			60 kDa chaperonin 1
53965_StreptomycesisolateR1_01425	CDS	309	groS_1			10 kDa chaperonin
53965_StreptomycesisolateR1_01426	CDS	747				hypothetical protein
53965_StreptomycesisolateR1_01427	CDS	981				hypothetical protein
53965_StreptomycesisolateR1_01428	CDS	1191				hypothetical protein
53965_StreptomycesisolateR1_01429	CDS	1257				hypothetical protein
53965_StreptomycesisolateR1_01430	CDS	357				hypothetical protein
53965_StreptomycesisolateR1_01431	CDS	1038	lytR_1			Transcriptional regulator LytR
53965_StreptomycesisolateR1_01432	CDS	1053	cytR_2		COG1609	HTH-type transcriptional repressor CytR
53965_StreptomycesisolateR1_01433	CDS	3351				hypothetical protein
53965_StreptomycesisolateR1_01434	CDS	951				hypothetical protein
53965_StreptomycesisolateR1_01435	CDS	2145				hypothetical protein
53965_StreptomycesisolateR1_01436	CDS	399				hypothetical protein
53965_StreptomycesisolateR1_01437	CDS	255				hypothetical protein
53965_StreptomycesisolateR1_01438	CDS	1119	tsaD_1	2.3.1.234	COG0533	tRNA N6-adenosine threonylcarbamoyltransferase
53965_StreptomycesisolateR1_01439	CDS	534	rimI	2.3.1.255	COG0456	N-alpha-acetyltransferase RimI
53965_StreptomycesisolateR1_01440	CDS	654			COG1214	Uncharacterized protein Rv3421c
53965_StreptomycesisolateR1_01441	CDS	555				hypothetical protein
53965_StreptomycesisolateR1_01442	CDS	219				hypothetical protein
53965_StreptomycesisolateR1_01443	CDS	543				hypothetical protein
53965_StreptomycesisolateR1_01444	CDS	1263	rutD_1	3.5.1.-		Putative aminoacrylate hydrolase RutD
53965_StreptomycesisolateR1_01445	CDS	1170	alr	5.1.1.1	COG0787	Alanine racemase
53965_StreptomycesisolateR1_01446	CDS	372	acpS	2.7.8.7		Holo-[acyl-carrier-protein] synthase
53965_StreptomycesisolateR1_01447	CDS	609				hypothetical protein
53965_StreptomycesisolateR1_01448	CDS	1461	nnr		COG0062	Bifunctional NAD(P)H-hydrate repair enzyme Nnr
53965_StreptomycesisolateR1_01449	CDS	468				hypothetical protein
53965_StreptomycesisolateR1_01450	CDS	1848	glmS_1	2.6.1.16	COG0449	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
53965_StreptomycesisolateR1_01451	CDS	807				hypothetical protein
53965_StreptomycesisolateR1_01452	CDS	990	coaA	2.7.1.33	COG1072	Pantothenate kinase
53965_StreptomycesisolateR1_01453	CDS	951				hypothetical protein
53965_StreptomycesisolateR1_01454	CDS	1359	glmM	5.4.2.10	COG1109	Phosphoglucosamine mutase
53965_StreptomycesisolateR1_01455	CDS	513	rpsI		COG0103	30S ribosomal protein S9
53965_StreptomycesisolateR1_01456	CDS	444	rplM		COG0102	50S ribosomal protein L13
53965_StreptomycesisolateR1_01457	CDS	1206				hypothetical protein
53965_StreptomycesisolateR1_01458	CDS	918				hypothetical protein
53965_StreptomycesisolateR1_01459	CDS	855	truA	5.4.99.12	COG0101	tRNA pseudouridine synthase A
53965_StreptomycesisolateR1_01460	CDS	495	rplQ			50S ribosomal protein L17
53965_StreptomycesisolateR1_01461	CDS	1023	rpoA	2.7.7.6		DNA-directed RNA polymerase subunit alpha
53965_StreptomycesisolateR1_01462	CDS	405	rpsK		COG0100	30S ribosomal protein S11
53965_StreptomycesisolateR1_01463	CDS	381	rpsM		COG0099	30S ribosomal protein S13
53965_StreptomycesisolateR1_01464	CDS	114	rpmJ		COG0257	50S ribosomal protein L36
53965_StreptomycesisolateR1_01465	CDS	222	infA		COG0361	Translation initiation factor IF-1
53965_StreptomycesisolateR1_01466	CDS	837	map-1_1	3.4.11.18	COG0024	Methionine aminopeptidase 1
53965_StreptomycesisolateR1_01467	CDS	654	adk	2.7.4.3		Adenylate kinase
53965_StreptomycesisolateR1_01468	CDS	1314	secY		COG0201	Protein translocase subunit SecY
53965_StreptomycesisolateR1_01469	CDS	456	rplO		COG0200	50S ribosomal protein L15
53965_StreptomycesisolateR1_01470	CDS	183	rpmD		COG1841	50S ribosomal protein L30
53965_StreptomycesisolateR1_01471	CDS	606	rpsE		COG0098	30S ribosomal protein S5
53965_StreptomycesisolateR1_01472	CDS	384	rplR		COG0256	50S ribosomal protein L18
53965_StreptomycesisolateR1_01473	CDS	540	rplF		COG0097	50S ribosomal protein L6
53965_StreptomycesisolateR1_01474	CDS	399	rpsH		COG0096	30S ribosomal protein S8
53965_StreptomycesisolateR1_01475	CDS	186	rpsZ		COG0199	30S ribosomal protein S14 type Z
53965_StreptomycesisolateR1_01476	CDS	558	rplE		COG0094	50S ribosomal protein L5
53965_StreptomycesisolateR1_01477	CDS	324	rplX		COG0198	50S ribosomal protein L24
53965_StreptomycesisolateR1_01478	CDS	369	rplN		COG0093	50S ribosomal protein L14
53965_StreptomycesisolateR1_01479	CDS	288	rpsQ			30S ribosomal protein S17
